Script started on 2026-04-22 15:20:31+00:00 [COMMAND="cd ~/secure-reliable-file-fransfer && sudo PYTHONPATH=. python3 -u main.py --mode server --config config_phase1.json" TERM="xterm-256color" TTY="/dev/pts/0" COLUMNS="222" LINES="30"]
[SERVER] Listening on 172.31.77.14:50000
[SERVER][DEBUG] accepted ACK 836
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 861
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 885
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 910
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 935
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 935

[SERVER][DEBUG] accepted ACK 959
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 984
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1009
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1033
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1058
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 1058[SERVER][DEBUG] accepted ACK 1081

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1107
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1131
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1156
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1181
[SERVER] retransmitted DATA seq 1181[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1204

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1228
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1254
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1279
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1304
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 1304

[SERVER][DEBUG] accepted ACK 1327
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1351
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1375
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1400
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1425
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 1425

[SERVER][DEBUG] accepted ACK 1449
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1473
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1498
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1524
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1550
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 1550
[SERVER][DEBUG] accepted ACK 1573

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1600
[SERVER][DEBUG] raw packet len=76
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1625
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1650
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1675
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1698
[SERVER] retransmitted DATA seq 1675
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1723
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1748
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1772
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1800
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1824
[SERVER] retransmitted DATA seq 1800
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1848
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1872
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1896
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1920
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1942
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1966
[SERVER] retransmitted DATA seq 1942
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 1990
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2014
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2038
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2062
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2084
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2109
[SERVER] retransmitted DATA seq 2084
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2130
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2154
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2178
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2201
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2226
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 2226[SERVER][DEBUG] accepted ACK 2250

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2274
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2298
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2320
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2343
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2368
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2392
[SERVER] retransmitted DATA seq 2368
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2416
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2440
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2462
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2486
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2510
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2534
[SERVER] retransmitted DATA seq 2510
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2559
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2582
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2605
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2629
[SERVER] retransmitted DATA seq 2629[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2654

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2679
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2703
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2727
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2750
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 2750

[SERVER][DEBUG] accepted ACK 2774
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2798
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2822
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2846
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2869
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 2869[SERVER][DEBUG] accepted ACK 2892

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2916
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2940
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2964
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 2988
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 2988[SERVER][DEBUG] accepted ACK 3011

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3035
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3059
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3083
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3103
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3117
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 3117[SERVER][DEBUG] accepted ACK 3132

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3146
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3161
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3179
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3203
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3227
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3251
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 3251

[SERVER][DEBUG] accepted ACK 3274
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3298
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3323
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3348
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3372
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 3372

[SERVER][DEBUG] accepted ACK 3394
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3419
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3443
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3467
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3491
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 3491[SERVER][DEBUG] accepted ACK 3514

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3538
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3561
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3587
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3611
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3632
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3656
[SERVER] retransmitted DATA seq 3632
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3680
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3705
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3729
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3753
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 3753

[SERVER][DEBUG] accepted ACK 3777
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3801
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3826
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3850
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3874
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 3874

[SERVER][DEBUG] accepted ACK 3897
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3921
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3945
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3969
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 3993
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4016
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 4016[SERVER][DEBUG] accepted ACK 4040

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4064
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4088
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4112
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4135
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4158
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 4158

[SERVER][DEBUG] accepted ACK 4182
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4206
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4229
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4254
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4276
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4301
[SERVER] retransmitted DATA seq 4276
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4321
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4345
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4371
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4393
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4418
[SERVER] retransmitted DATA seq 4393
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4443
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4468
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4493
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4518
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 4518

[SERVER][DEBUG] accepted ACK 4541
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4565
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4590
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4615
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4640
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 4640[SERVER][DEBUG] accepted ACK 4665

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4689
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4713
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4738
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4762
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 4762[SERVER][DEBUG] accepted ACK 4786

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4808
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4832
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4856
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4880
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4903
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4906
[SERVER] retransmitted DATA seq 4903
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4912
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4926
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4949
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4975
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 4998
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5021
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5045
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 5045
[SERVER][DEBUG] accepted ACK 5069
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5093
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5117
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5139
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5161
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5185
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5210
[SERVER] retransmitted DATA seq 5185
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5234
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5257
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5280
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5305
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5329
[SERVER] retransmitted DATA seq 5305
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5353
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5377
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5403
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5424
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 5424

[SERVER][DEBUG] accepted ACK 5448
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5473
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5497
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5522
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5545
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 5545

[SERVER][DEBUG] accepted ACK 5568
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5593
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5617
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5641
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5666
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 5666

[SERVER][DEBUG] accepted ACK 5689
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5712
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5736
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5760
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5784
[SERVER][DEBUG] raw packet len=60
[SERVER] retransmitted DATA seq 5784[SERVER][DEBUG] accepted ACK 5807

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5831
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5856
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5880
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5904
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 5904

[SERVER][DEBUG] accepted ACK 5928
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5951
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5975
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 5999
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6024
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 6024

[SERVER][DEBUG] accepted ACK 6048
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6070
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6095
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6119
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6144
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 6144

[SERVER][DEBUG] accepted ACK 6168
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6190
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6215
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6239
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6263
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6288
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 6288

[SERVER][DEBUG] accepted ACK 6310
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6335
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6358
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6383
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6407
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6430
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 6430
[SERVER][DEBUG] accepted ACK 6454

[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6478
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6502
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6526
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6549
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6573
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 6573

[SERVER][DEBUG] accepted ACK 6598
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6624
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6649
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6672
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6697
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 6697

[SERVER][DEBUG] accepted ACK 6721
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6746
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6771
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6796
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6819
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 6819

[SERVER][DEBUG] accepted ACK 6843
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6868
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6894
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6919
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6943
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 6943

[SERVER][DEBUG] accepted ACK 6967
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 6992
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 7016
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 7041
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 7067
[SERVER][DEBUG] raw packet len=60[SERVER] retransmitted DATA seq 7067

[SERVER][DEBUG] accepted ACK 7090
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 7113
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 7138
[SERVER][DEBUG] raw packet len=60
[SERVER][DEBUG] accepted ACK 7162
